locality,anterior_tooth_mm
Seymour,18.5
Seymour,18.5
Seymour,18.5
Seymour,18.5
Seymour,19
Seymour,19
Seymour,19
Seymour,19
Seymour,19
Seymour,19
Seymour,19
Seymour,19
Seymour,19
Seymour,19.5
Seymour,19.5
Seymour,19.5
Seymour,19.5
Seymour,19.58
Seymour,20
Seymour,20
Seymour,20
Seymour,20
Seymour,20
Seymour,20
Seymour,20.5
Seymour,20.5
Seymour,20.5
Seymour,20.5
Seymour,20.5
Seymour,20.5
Seymour,20.5
Seymour,21
Seymour,21
Seymour,21
Seymour,21
Seymour,21
Seymour,21
Seymour,21
Seymour,21.35
Seymour,21.5
Seymour,21.5
Seymour,21.5
Seymour,21.5
Seymour,22
Seymour,22
Seymour,22
Seymour,22
Seymour,22
Seymour,22.12
Seymour,22.3
Seymour,22.5
Seymour,22.5
Seymour,22.5
Seymour,22.85
Seymour,23
Seymour,23.5
Seymour,23.5
Seymour,23.5
Seymour,23.5
Seymour,23.71
Seymour,24
Seymour,24
Seymour,24.5
Seymour,24.5
Seymour,24.5
Seymour,24.5
Seymour,24.5
Seymour,25
Seymour,25
Seymour,25
Seymour,25
Seymour,25
Seymour,25
Seymour,25
Seymour,25
Seymour,25
Seymour,25
Seymour,25.5
Seymour,26
Seymour,26
Seymour,26
Seymour,26
Seymour,26
Seymour,26.5
Seymour,26.5
Seymour,27
Seymour,27
Seymour,27
Seymour,27
Seymour,27
Seymour,27
Seymour,27
Seymour,27.5
Seymour,27.62
Seymour,28
Seymour,28
Seymour,28
Seymour,28
Seymour,28.3
Seymour,28.5
Seymour,28.5
Seymour,28.5
Seymour,28.5
Seymour,28.5
Seymour,28.5
Seymour,28.5
Seymour,28.5
Seymour,28.5
Seymour,29
Seymour,29
Seymour,29
Seymour,29
Seymour,29
Seymour,29.5
Seymour,30
Seymour,30
Seymour,31
Seymour,31
Seymour,31
Seymour,31.5
Seymour,32
Seymour,32
Seymour,32
Seymour,32.22
Seymour,32.5
Seymour,33.5
Seymour,34
Seymour,34.5
Seymour,36
Seymour,36.5
Seymour,36.5
Seymour,37
Seymour,37
Seymour,38
Seymour,38.5
Seymour,39.5
Seymour,41
Seymour,11
Seymour,11
Seymour,11.44
Seymour,11.54
Seymour,11.59
Seymour,11.87
Seymour,11.94
Seymour,12.08
Seymour,12.38
Seymour,12.49
Seymour,12.5
Seymour,12.5
Seymour,12.55
Seymour,12.64
Seymour,12.66
Seymour,12.78
Seymour,12.93
Seymour,13
Seymour,13.05
Seymour,13.31
Seymour,13.31
Seymour,13.47
Seymour,13.5
Seymour,14
Seymour,14
Seymour,14.08
Seymour,14.4
Seymour,14.5
Seymour,14.51
Seymour,14.67
Seymour,14.97
Seymour,14.97
Seymour,14.99
Seymour,15
Seymour,15
Seymour,15.44
Seymour,15.5
Seymour,15.5
Seymour,15.5
Seymour,15.5
Seymour,15.51
Seymour,15.65
Seymour,15.68
Seymour,16
Seymour,16
Seymour,16
Seymour,16.03
Seymour,16.42
Seymour,16.5
Seymour,16.72
Seymour,17
Seymour,17
Seymour,17.12
Seymour,17.15
Seymour,17.25
Seymour,17.47
Seymour,17.5
Seymour,18
Seymour,18
Seymour,18
Seymour,18.5
Seymour,18.5
Seymour,18.54
Seymour,18.64
Seymour,19
Seymour,19
Seymour,19
Seymour,19
Seymour,19
Seymour,19
Seymour,19
Seymour,19.12
Seymour,19.77
Seymour,19.89
Seymour,20
Seymour,20
Seymour,20
Seymour,20
Seymour,20
Seymour,20
Seymour,20.19
Seymour,20.5
Seymour,21
Seymour,21
Seymour,21.83
Seymour,22
Seymour,22
Seymour,22.83
Seymour,23
Seymour,23
Seymour,23
Seymour,23
Seymour,23.02
Seymour,23.57
Seymour,24.5
Seymour,24.94
Seymour,25
Seymour,25
Seymour,26
Seymour,26
Seymour,27.25
Seymour,27.5
Seymour,28
Seymour,28.62
Seymour,30
Seymour,30.5
Seymour,35.52
Seymour,36
Seymour,38
modern_DE,11.99
modern_DE,13.04
modern_DE,13.74
modern_DE,13.83
modern_DE,14.44
modern_DE,14.8
modern_DE,14.8
modern_DE,14.8
modern_DE,14.97
modern_DE,15.32
modern_DE,15.41
modern_DE,15.58
modern_DE,15.58
modern_DE,15.67
modern_DE,15.85
modern_DE,15.85
modern_DE,15.94
modern_DE,15.94
modern_DE,16.11
modern_DE,16.2
modern_DE,16.2
modern_DE,16.37
modern_DE,16.55
modern_DE,16.64
modern_DE,16.81
modern_DE,16.81
modern_DE,16.81
modern_DE,16.81
modern_DE,16.9
modern_DE,16.99
modern_DE,17.08
modern_DE,17.08
modern_DE,17.16
modern_DE,17.16
modern_DE,17.16
modern_DE,17.16
modern_DE,17.25
modern_DE,17.25
modern_DE,17.25
modern_DE,17.34
modern_DE,17.34
modern_DE,17.34
modern_DE,17.43
modern_DE,17.69
modern_DE,17.69
modern_DE,17.69
modern_DE,17.78
modern_DE,17.86
modern_DE,17.86
modern_DE,18.04
modern_DE,18.04
modern_DE,18.04
modern_DE,18.04
modern_DE,18.13
modern_DE,18.22
modern_DE,18.22
modern_DE,18.22
modern_DE,18.3
modern_DE,18.39
modern_DE,18.39
modern_DE,18.39
modern_DE,18.39
modern_DE,18.48
modern_DE,18.48
modern_DE,18.48
modern_DE,18.57
modern_DE,18.65
modern_DE,18.65
modern_DE,18.65
modern_DE,18.74
modern_DE,18.74
modern_DE,18.74
modern_DE,18.83
modern_DE,18.83
modern_DE,18.92
modern_DE,18.92
modern_DE,18.92
modern_DE,18.92
modern_DE,18.92
modern_DE,19
modern_DE,19
modern_DE,19
modern_DE,19.09
modern_DE,19.18
modern_DE,19.18
modern_DE,19.18
modern_DE,19.27
modern_DE,19.36
modern_DE,19.36
modern_DE,19.36
modern_DE,19.44
modern_DE,19.53
modern_DE,19.53
modern_DE,19.62
modern_DE,19.62
modern_DE,19.71
modern_DE,19.79
modern_DE,19.88
modern_DE,20.15
modern_DE,20.23
modern_DE,20.23
modern_DE,20.23
modern_DE,20.23
modern_DE,20.32
modern_DE,20.41
modern_DE,20.5
modern_DE,20.5
modern_DE,20.5
modern_DE,20.58
modern_DE,20.67
modern_DE,20.67
modern_DE,20.85
modern_DE,20.85
modern_DE,21.64
modern_DE,21.72
modern_DE,21.72
modern_DE,21.99
modern_DE,22.25
modern_DE,22.25
modern_DE,22.69
modern_DE,22.78
modern_DE,22.86
modern_DE,23.3
modern_DE,23.48
modern_DE,23.57
modern_DE,23.65
modern_DE,24.27
modern_DE,24.35
modern_DE,25.06
modern_DE,25.06
modern_DE,25.06
modern_DE,25.14
modern_DE,25.23
modern_DE,25.32
modern_DE,25.67
modern_DE,26.11
